gstin,supplier name,invoice no,invoice date,taxable amount,igst,cgst,sgst,total

27AAACG1234F1Z5,Reliance Industries,INV-0001,2025-06-02,161659.57,0.00,4041.49,4041.49,169742.55
27AAACH5678B1Z2,Tata Steel Limited,INV-0002,2025-06-03,186679.87,0.00,11200.79,11200.79,209081.45
07AAACI2345D1Z6,Infosys Limited,INV-0003,2025-06-04,59686.63,2984.33,0.00,0.00,62670.96
27AAACJ8765E1Z3,Bharat Petroleum,INV-0004,2025-06-05,170791.37,0.00,4269.78,4269.78,179330.93
27AAACK4321F1Z4,ITC Limited,INV-0005,2025-06-06,149670.67,0.00,3741.77,3741.77,157154.21
07AAACL9876G1Z1,Wipro Limited,INV-0006,2025-06-07,12300.32,1476.04,0.00,0.00,13776.36
27AAACM2468H1Z7,Maruti Suzuki India,INV-0007,2025-06-08,62001.92,0.00,1550.05,1550.05,65102.02
27AAACN1357I1Z8,Tata Motors,INV-0008,2025-06-09,142505.04,0.00,19950.71,19950.71,182406.46
07AAACO8642J1Z9,Asian Paints,INV-0009,2025-06-10,59007.95,10621.43,0.00,0.00,69629.38
27AAACP7531K1Z1,Godrej Industries,INV-0010,2025-06-11,203310.46,0.00,5082.76,5082.76,213475.98
07AAACX9999H1Z3,HDFC Bank,INV-0011,2025-06-12,190907.80,0.00,11454.47,11454.47,213816.74
07AAACY7777A1Z5,ICICI Bank,INV-0012,2025-06-13,176044.15,31687.95,0.00,0.00,207732.10
27AAACL1234Q1Z2,Larsen & Toubro,INV-0013,2025-06-14,73078.48,0.00,4384.71,4384.71,81847.90
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0014,2025-06-15,239517.20,0.00,21556.55,21556.55,282630.30
27AAACA2468S1Z6,Adani Enterprises,INV-0015,2025-06-16,30041.52,8411.63,0.00,0.00,38453.15
27AAACB1357T1Z8,Bajaj Auto,INV-0016,2025-06-17,28695.51,0.00,2582.60,2582.60,33860.71
07AAACH8642U1Z1,Hindustan Unilever,INV-0017,2025-06-18,152912.88,0.00,3822.82,3822.82,160558.52
07AAACS7531V1Z3,Sun Pharma,INV-0018,2025-06-19,183784.29,9189.21,0.00,0.00,192973.50
27AAACC6420W1Z5,Coal India,INV-0019,2025-06-20,243413.36,0.00,34077.87,34077.87,311569.10
27AAACN5319X1Z7,NTPC Limited,INV-0020,2025-06-21,24306.05,0.00,2187.54,2187.54,28681.13
27AAACG1234F1Z5,Reliance Industries,INV-0021,2025-06-22,208204.14,37476.75,0.00,0.00,245680.89
27AAACH5678B1Z2,Tata Steel Limited,INV-0022,2025-06-23,146451.28,0.00,3661.28,3661.28,153773.84
07AAACI2345D1Z6,Infosys Limited,INV-0023,2025-06-24,16226.97,0.00,973.62,973.62,18174.21
27AAACJ8765E1Z3,Bharat Petroleum,INV-0024,2025-06-25,194401.74,9720.09,0.00,0.00,204121.83
27AAACK4321F1Z4,ITC Limited,INV-0025,2025-06-26,214552.84,0.00,5363.82,5363.82,225280.48
07AAACL9876G1Z1,Wipro Limited,INV-0026,2025-06-27,98130.93,0.00,13738.33,13738.33,125607.59
27AAACM2468H1Z7,Maruti Suzuki India,INV-0027,2025-06-28,160742.69,28933.68,0.00,0.00,189676.37
27AAACN1357I1Z8,Tata Motors,INV-0028,2025-06-01,44850.25,0.00,4036.52,4036.52,52923.29
07AAACO8642J1Z9,Asian Paints,INV-0029,2025-06-02,56329.22,0.00,5069.63,5069.63,66468.48
27AAACP7531K1Z1,Godrej Industries,INV-0030,2025-06-03,176945.98,8847.30,0.00,0.00,185793.28
07AAACX9999H1Z3,HDFC Bank,INV-0031,2025-06-04,154237.10,0.00,9254.23,9254.23,172745.56
07AAACY7777A1Z5,ICICI Bank,INV-0032,2025-06-05,135864.27,0.00,8151.86,8151.86,152167.99
27AAACL1234Q1Z2,Larsen & Toubro,INV-0033,2025-06-06,45033.61,12609.41,0.00,0.00,57643.02
27AAACM5678R1Z4,Mahindra & Mahindra,INV-0034,2025-06-07,71137.22,0.00,4268.23,4268.23,79673.68
27AAACA2468S1Z6,Adani Enterprises,INV-0035,2025-06-08,172730.49,0.00,4318.26,4318.26,181367.01
27AAACB1357T1Z8,Bajaj Auto,INV-0036,2025-06-09,61116.78,3055.84,0.00,0.00,64172.62
